Team,Draft Grade,Letter Grade,League Name
 Johnny  Dramas ,81.86,B-,RRR On Premise 2021
Stiff Armed and Dangerous,81.72,B-,Game of Yards! 2022
Pure Mature,81.62,B-,EBC League 2021
Team Rodriguez,81.56,B-,THE BEST OF THE BEST 2022
Multiple Scoregasm,81.51,B-,Game of Yards! 2020
Team Schottler,81.48,B-,BP- Loudoun 2025 2025
All my homies hate Dallas,81.32,B-,0755 Fantasy Football 2025
the   jadey bunch,81.21,B-,THE BEST OF THE BEST 2023
Team HebAchi,81.16,B-,Game of Yards! 2023
OAC PADS,81.14,B-,Turf On Grade 2.0 2023
Gridiron Grace,81.11,B-,The Girl's Room 💞🏈 2025
Patrick's Stars,81.07,B-,0755 Fantasy Football 2024
The Real Kevin Nichols,81.01,B-,Philly Extra Special 2025
Philadelphia Bills Mafia,80.93,B-,Pennoni Younglings 2024
Ler of the Rings,80.88,B-,Operators Football League 2025
Olave Another,80.79,B-,0755 Fantasy Football 2024
19th St Halal Cart,80.41,B-,Pennoni Younglings 2024
Bryson Stott Fan Club,80.29,B-,EBC League 2024
Team HebAchi,80.28,B-,Game of Yards! 2024
Pain Inflictors,80.28,B-,Game of Yards! 2019
Yangblood Bravesheart,80.23,B-,BP- Loudoun 2025 2025
All my homies hate Dallas,80.22,B-,0755 Fantasy Football 2024
Steenage Mutant Ninja Turtles,80.17,B-,Philly Extra Special 2025
Team HebAchi,80.02,B-,Game of Yards! 2025
Pain Inflictors,80.02,B-,Game of Yards! 2023
Toby's Favorite Employee,80.01,B-,RRR On Premise 2023
Men in Tight(End)s,79.91,C+,The Girl's Room 💞🏈 2025
Champagne  Papi ,79.88,C+,EBC League 2022
Wakanda Forever,79.65,C+,Game of Yards! 2023
I'm Batman,79.6,C+,0755 Fantasy Football 2025
BurgerBoyz,79.51,C+,Brown Munde 2023
I'm Batman,79.44,C+,0755 Fantasy Football 2024
Inter Miami CF,79.43,C+,EBC League 2023
MOTHER MAY I,79.33,C+,0755 Fantasy Football 2022
Oh My Josh,79.32,C+,Family Fantasy 2024
Cor Dawg Dub City,79.24,C+,RRR On Premise 2021
The Man In Jahmyrror,79.18,C+,Brown Munde 2025
Pleasant Valley Panthers,79.02,C+,EBC League 2024
Breezy’s Bros,78.99,C+,The Girl's Room 💞🏈 2025
Inter Miami CF,78.98,C+,EBC League 2024
Hormones For You,78.95,C+,Family Fantasy 2025
"No, This Is Patrick!",78.94,C+,OnP Fantasy 2025
PAI Alcoholics Anonymous ,78.73,C+,Pennoni Younglings 2025
Chasing Flowers,78.64,C+,THE BEST OF THE BEST 2025
Still Rollin',78.57,C+,Brown Munde 2023
3rd World Immigrant,78.52,C+,0755 Fantasy Football 2024
THE BIGMADBLUE,78.47,C+,Game of Yards! 2023
I'd_Tap_ That,78.41,C+,Pennoni Younglings 2023
It HURTS being an Eagles fan ,78.38,C+,THE BEST OF THE BEST 2024
Hot Sauce 'n' Bananas,78.32,C+,0755 Fantasy Football 2022
Pleasant Valley Panthers,78.3,C+,EBC League 2025
Prahlad's Ghost,78.19,C+,Pennoni Younglings 2024
Toon Squad,78.15,C+,THE BEST OF THE BEST 2023
Office Director,78.12,C+,0755 Fantasy Football 2022
Team Vellapanti,78.01,C+,Game of Yards! 2021
Oh My Josh,77.85,C+,Family Fantasy 2025
Bli Erinker,77.81,C+,Pennoni Younglings 2023
Team BB,77.76,C+,Brown Munde 2025
SIGMAS,77.75,C+,Family Fantasy 2024
Faith's Fantastic Team,77.71,C+,The Girl's Room 💞🏈 2025
Bryson Stott Fan Club,77.69,C+,EBC League 2023
Wakanda Forever,77.69,C+,Game of Yards! 2020
PHL Mike,77.62,C+,0755 Fantasy Football 2022
Toon Squad,77.53,C+,THE BEST OF THE BEST 2025
Chase Ball. Touchdown!,77.49,C+,Ross' Fantasy League 2025
Jim-a-sore-ass,77.47,C+,Turf On Grade 2.0 2024
Red Zone Risk Assessors,77.44,C+,Pennoni Younglings 2025
Scrappy Dub,77.44,C+,0755 Fantasy Football 2025
Gabe's Grand Team,77.43,C+,Family Fantasy 2024
Kevin Nichols The Third,77.38,C+,Philly Extra Special 2025
Multiple Scoregasm,77.33,C+,Game of Yards! 2019
Balls@ck Gafoor,77.33,C+,Ross' Fantasy League 2025
Came and Wentz,77.26,C+,Pennoni Younglings 2024
"All Barkley, No Bite",77.19,C+,Brown Munde 2023
Killler jatt ,77.19,C+,Brown Munde 2023
Hall Pass,77.15,C+,Operators Football League 2025
It's Britney's Bench,77.11,C+,0755 Fantasy Football 2024
The Truth Hurts,77.09,C+,THE BEST OF THE BEST 2022
NoHalfSends,77.04,C+,Brown Munde 2025
Team BB,76.89,C,Brown Munde 2024
Club Penguins,76.88,C,Ross' Fantasy League 2025
"All Barkley, No Bite",76.85,C,Brown Munde 2025
Masoud's Magnificent Team,76.83,C,Turf On Grade 2.0 2024
Dennis The Menace ,76.8,C,RRR On Premise 2023
Terrell Suggs to be you,76.8,C,THE BEST OF THE BEST 2024
Pitman OBJYN,76.78,C,EBC League 2021
Team Date,76.71,C,Turf On Grade 2.0 2023
Team Daisey,76.61,C,The Mike Daisy Sports IQ League 2025
The Golden Receivers,76.58,C,Pennoni Younglings 2022
Natural rack,76.55,C,Operators Football League 2025
Frisco Cougars,76.47,C,RRR On Premise 2023
TUFF,76.46,C,Ross' Fantasy League 2025
MPT Phase Tua,76.37,C,0755 Fantasy Football 2023
Book of MoreMoms,76.37,C,Pennoni Younglings 2023
MPT Phase1A,76.14,C,0755 Fantasy Football 2022
Team TitBit,75.98,C,Game of Yards! 2020
Brown Munde,75.95,C,Game of Yards! 2024
Still Rollin',75.85,C,Brown Munde 2024
Wakanda Forever,75.76,C,Game of Yards! 2021
Team Date,75.75,C,Turf On Grade 2.0 2024
Riley  Read option,75.65,C,EBC League 2024
Michael's Monstrous Team,75.63,C,THE BEST OF THE BEST 2025
BurgerBoyz,75.62,C,Brown Munde 2025
Febreze Brothers,75.62,C,THE BEST OF THE BEST 2025
Maid of Honor,75.55,C,THE BEST OF THE BEST 2023
Crunchwrap Crew,75.5,C,THE BEST OF THE BEST 2025
Fresh Prince  Of Hel-Aire,75.48,C,Game of Yards! 2020
Team Cogs,75.46,C,Pennoni Younglings 2024
Team CTE,75.46,C,Game of Yards! 2022
Division iPad,75.44,C,0755 Fantasy Football 2025
the   jadey bunch,75.34,C,THE BEST OF THE BEST 2025
 Johnny  Dramas ,75.32,C,OnP Fantasy 2025
Pennoni Adjacent,75.27,C,Pennoni Younglings 2023
NoHalfSends,75.27,C,Brown Munde 2024
Is it Hockey Season?,75.23,C,THE BEST OF THE BEST 2025
Did I Set My Lineup?,75.2,C,Turf On Grade 2.0 2023
Toon Squad,75.12,C,THE BEST OF THE BEST 2024
The  Dream crusher,75.05,C,THE BEST OF THE BEST 2023
Here 4 fun,74.89,C,0755 Fantasy Football 2023
Face Down Sacks Up,74.81,C,The Girl's Room 💞🏈 2025
Sporty Jess,74.8,C,BP- Loudoun 2025 2025
Dennis The Menace ,74.79,C,OnP Fantasy 2025
Titan Up,74.7,C,RRR On Premise 2021
Brown Munde,74.59,C,Game of Yards! 2023
South East  Anbu ,74.53,C,EBC League 2021
Bhambhwani Pawan Dilip,74.44,C,Game of Yards! 2022
THE POOL ,74.4,C,EBC League 2025
Fear the Turtle,74.38,C,BP- Loudoun 2025 2025
Brady Gaga,74.34,C,0755 Fantasy Football 2023
OBJYN,74.28,C,EBC League 2025
Daddy's Finally Home,74.28,C,Pennoni Younglings 2025
Rizzo's Crash Test Dummy,74.2,C,Pennoni Younglings 2022
3rd World Immigrant,74.16,C,0755 Fantasy Football 2025
I've Got  A Thielen,74.16,C,RRR On Premise 2021
Nicole's Nifty Team,73.88,C,The Girl's Room 💞🏈 2025
Wu-Tangs Killabeez,73.87,C,THE BEST OF THE BEST 2023
Dirty Tone and  The Boys,73.82,C,THE BEST OF THE BEST 2022
Njigba's in Paris,73.81,C,The Mike Daisy Sports IQ League 2025
Amon a Mission,73.8,C,Game of Yards! 2023
Book of MoreMoms,73.76,C,Pennoni Younglings 2022
Griddy Little Liars,73.74,C,0755 Fantasy Football 2025
i just wasted $20,73.69,C,Philly Extra Special 2025
Eli,73.63,C,Pennoni Younglings 2024
Rollin' with Mahomies,73.59,C,THE BEST OF THE BEST 2023
BB,73.58,C,Game of Yards! 2024
Derk Prerscert,73.57,C,BP- Loudoun 2025 2025
Brown Munde,73.5,C,Game of Yards! 2022
Team Rodriguez,73.46,C,THE BEST OF THE BEST 2023
Run CMC,73.34,C,Game of Yards! 2023
Abyss Diamond Eyes,73.26,C,EBC League 2023
Team TitBit,73.21,C,Game of Yards! 2021
Bench Warmer,73.15,C,RRR On Premise 2023
"Baby Chark, Juju Juju ",73.04,C,0755 Fantasy Football 2023
BetterThanDeanAtSF6,72.97,C-,Ross' Fantasy League 2025
Team Sunshine,72.8,C-,THE BEST OF THE BEST 2023
Brown Munde,72.8,C-,Game of Yards! 2025
The Chase Is On,72.75,C-,Game of Yards! 2022
JanSteez,72.68,C-,EBC League 2024
Wakanda Forever,72.63,C-,Game of Yards! 2024
Crazy Kat,72.58,C-,THE BEST OF THE BEST 2024
Saving Private Ryan,72.52,C-,THE BEST OF THE BEST 2022
Pain Inflictors,72.5,C-,Game of Yards! 2022
Dirty Tone and  The Boys,72.49,C-,THE BEST OF THE BEST 2023
Team TitBit,72.34,C-,Game of Yards! 2019
Breece Hall Sucks,72.31,C-,Family Fantasy 2025
THE BIGMADBLUE,72.22,C-,Brown Munde 2024
Wu-Tangs Killabeez,72.08,C-,THE BEST OF THE BEST 2025
THE BIGMADBLUE,72.04,C-,Brown Munde 2025
Jimoke Jukes,72.01,C-,EBC League 2025
It's Miller Time,71.96,C-,The Girl's Room 💞🏈 2025
1900 Sleepers,71.89,C-,Pennoni Younglings 2025
Trash Panda Express,71.68,C-,BP- Loudoun 2025 2025
Hannah's Hail Mary,71.55,C-,BP- Loudoun 2025 2025
Pho_King,71.47,C-,Pennoni Younglings 2024
lawrence's Loud Team,71.44,C-,Family Fantasy 2024
Seigaku FC,71.24,C-,EBC League 2021
sports,71.2,C-,THE BEST OF THE BEST 2024
Riley  Read option,71.08,C-,EBC League 2022
Wakanda Forever,70.99,C-,Game of Yards! 2022
Bhals,70.91,C-,Brown Munde 2025
Oversized Pumpkins,70.9,C-,RRR On Premise 2021
Shae's Sunday Scaries ,70.89,C-,The Girl's Room 💞🏈 2025
PAI Alcoholics Anonymous ,70.84,C-,Pennoni Younglings 2023
Team Just here 4 fun,70.74,C-,0755 Fantasy Football 2022
Pleasant Valley Panthers,70.66,C-,EBC League 2022
Dirty Tone and  The Boys,70.61,C-,THE BEST OF THE BEST 2024
Pain Inflictors,70.59,C-,Game of Yards! 2025
BHam Legion,70.39,C-,Turf On Grade 2.0 2024
The Golden Receivers,70.32,C-,Pennoni Younglings 2023
Sh1tting on Laporta potty ,70.29,C-,The Mike Daisy Sports IQ League 2025
Team DEMBOYZ,70.21,C-,RRR On Premise 2021
"Michael, The Baker",70.21,C-,0755 Fantasy Football 2025
Crazy Kat,70.21,C-,THE BEST OF THE BEST 2023
Team Padodara,70.18,C-,Brown Munde 2025
Wut happened uh 🤷🏽‍♂️,70.14,C-,EBC League 2023
First down syndrome ,70.12,C-,EBC League 2025
Unicorns🦄 ,69.92,D+,RRR On Premise 2023
THE BIGMADBLUE,69.82,D+,Game of Yards! 2021
Breece Hall Sucks,69.76,D+,Family Fantasy 2024
Bhambhwani Pawan Dilip,69.75,D+,Game of Yards! 2021
Brady Gaga,69.7,D+,0755 Fantasy Football 2022
Chicken Fried Chicken Meal,69.54,D+,0755 Fantasy Football 2024
cman,69.53,D+,Pennoni Younglings 2025
Chicken Fried Chicken Meal,69.49,D+,0755 Fantasy Football 2023
Sacks and the City,69.49,D+,The Girl's Room 💞🏈 2025
Jockstrap jubilee ,69.47,D+,Operators Football League 2025
The Big Hurts,69.43,D+,0755 Fantasy Football 2022
Inter Miami CF,69.41,D+,EBC League 2025
Serving Punt,69.39,D+,The Girl's Room 💞🏈 2025
Tortured Football Department,69.31,D+,Family Fantasy 2024
Vidhi's Spirited Team,69.21,D+,Game of Yards! 2024
Chicken Fried Chicken Meal,69.05,D+,0755 Fantasy Football 2022
Bhambhwani Pawan Dilip,69.04,D+,Game of Yards! 2020
The Hungry Dogs,69.04,D+,EBC League 2022
Pickens Brown Hubbard @ Mahomes,68.96,D+,Philly Extra Special 2025
Jackson's Tiktok,68.93,D+,RRR On Premise 2023
For Me to Poop on,68.8,D+,Family Fantasy 2024
Team Flaherty,68.78,D+,RRR On Premise 2021
CeeDee's Nuts,68.77,D+,EBC League 2025
Peter Pan + the Lost Boys ,68.71,D+,THE BEST OF THE BEST 2022
Did I Set My Lineup?,68.68,D+,Turf On Grade 2.0 2024
Mhoney Hurts So Good,68.58,D+,Operators Football League 2025
Rizzly Bears,68.52,D+,Family Fantasy 2024
BB,68.48,D+,Game of Yards! 2025
Daddy's Home,68.42,D+,Pennoni Younglings 2024
Metcalves of Steele,68.22,D+,0755 Fantasy Football 2024
Team CTE,68.2,D+,Game of Yards! 2024
Came and Wentz,68.05,D+,Pennoni Younglings 2022
Maid of Honor,67.88,D+,THE BEST OF THE BEST 2022
Wakanda Forever,67.84,D+,Game of Yards! 2025
Team BIGMADBLUE,67.81,D+,Game of Yards! 2019
THE BIGMADBLUE,67.8,D+,Game of Yards! 2022
Sorry 🤷🏽‍♂️,67.51,D+,EBC League 2021
Team bhalani,67.46,D+,Brown Munde 2023
Frisco Full Can Field Goals 🏈,67.4,D+,OnP Fantasy 2025
The Golden Receivers,67.35,D+,Pennoni Younglings 2025
Team Cogs,67.35,D+,Pennoni Younglings 2023
Muqaddar Ka Sikandar,67.28,D+,Game of Yards! 2019
Dak Stinks,67.19,D+,0755 Fantasy Football 2024
The Golden Receivers,67.09,D+,Pennoni Younglings 2024
Wu-Tangs Killabeez,67.04,D+,THE BEST OF THE BEST 2024
Pain Inflictors,66.75,D,Game of Yards! 2024
Breece’s  Pieces,66.46,D,THE BEST OF THE BEST 2022
Hunks of Hanet ,66.37,D,Operators Football League 2025
Your Mom,66.34,D,Family Fantasy 2024
Maid of Honor,66.32,D,THE BEST OF THE BEST 2024
Caleb's Calculated Team,66.26,D,Ross' Fantasy League 2025
Golden Receivers,66.25,D,Family Fantasy 2025
Team HebAchi,66.14,D,Game of Yards! 2021
Team Corner Office,66.14,D,Pennoni Younglings 2022
Matthew Golden's Goose,66.03,D,Philly Extra Special 2025
Groot-o-Matic,65.97,D,Game of Yards! 2025
Team Vellapanti,65.89,D,Game of Yards! 2020
The  Never CameBack,65.67,D,Game of Yards! 2021
#18 gridIRON Reinforcements,65.64,D,Turf On Grade 2.0 2023
Kill Bills ,65.56,D,OnP Fantasy 2025
Free  Brady,65.36,D,THE BEST OF THE BEST 2022
Meet the Nabers,65.29,D,Brown Munde 2024
"All Barkley, No Bite",65.28,D,Brown Munde 2024
Your Mom,65.19,D,Family Fantasy 2025
Red Bulls On Parade,65.03,D,OnP Fantasy 2025
Came and Wentz,64.95,D,Pennoni Younglings 2023
C. Kirk's revenge,64.81,D,The Mike Daisy Sports IQ League 2025
Need a New Name,64.71,D,THE BEST OF THE BEST 2022
Matt Gay Team,64.68,D,The Mike Daisy Sports IQ League 2025
Big Ballsy Bozos,64.65,D,Operators Football League 2025
Numb Nutz - CHAMP,64.63,D,Family Fantasy 2025
Najee Germany,64.47,D,The Mike Daisy Sports IQ League 2025
dFIBulators,64.16,D,Ross' Fantasy League 2025
Pineapples and Tartar Sauce,64.05,D,0755 Fantasy Football 2023
I'm Sorry Mrs. Jackson,63.95,D,OnP Fantasy 2025
MOTHER MAY I,63.84,D,0755 Fantasy Football 2023
The Hungry Dogs,63.65,D,EBC League 2023
Bhambhwani Pawan Dilip,63.6,D,Game of Yards! 2023
Groot-o-Matic,63.5,D,Game of Yards! 2024
Chicken’s Cougars ,63.4,D,Operators Football League 2025
First down syndrome ,63.17,D,EBC League 2024
Jacobs@Jacobs.com,63.15,D,Turf On Grade 2.0 2023
Inglorious Staffords,63.13,D,Game of Yards! 2021
Abyss Diamond Eyes,63.12,D,EBC League 2024
Team Amiji,62.93,D-,Game of Yards! 2019
Crazy Kat,62.91,D-,THE BEST OF THE BEST 2025
I'd_Tap_ That,62.81,D-,Pennoni Younglings 2022
BurgerBoyz,62.79,D-,Brown Munde 2024
Prahlad's Ghost,62.56,D-,Pennoni Younglings 2023
Matthew Dorchak,62.49,D-,Philly Extra Special 2025
The Upside Down,62.45,D-,THE BEST OF THE BEST 2023
Team CTE,62.44,D-,Game of Yards! 2025
Case Closed ,62.41,D-,Operators Football League 2025
Gato’s Mom Breezy,62.4,D-,RRR On Premise 2021
3rd World Immigrant,62.36,D-,0755 Fantasy Football 2023
Yvng Killas,62.11,D-,Ross' Fantasy League 2025
Chicken Fried Chicken Meal,62.1,D-,0755 Fantasy Football 2025
Muqaddar Ka Sikandar,62.07,D-,Game of Yards! 2020
Lucky #13s,62.06,D-,THE BEST OF THE BEST 2022
Riley  Read option,61.98,D-,EBC League 2025
Pho_King,61.9,D-,Pennoni Younglings 2025
The Chase is on,61.61,D-,Game of Yards! 2025
Pain Inflictors,61.45,D-,Game of Yards! 2020
Shindo ,60.93,D-,RRR On Premise 2023
Jeffrey's not so Scary Team,60.87,D-,BP- Loudoun 2025 2025
Oklahoma Go Sports!,60.85,D-,RRR On Premise 2021
Hark,60.82,D-,Brown Munde 2023
Cooper Troopers,60.76,D-,Game of Yards! 2024
Bhambhwani Pawan Dilip,59.73,F,Game of Yards! 2019
Philadelphia British Army,59.69,F,Pennoni Younglings 2023
Pennoni Adjacent,59.64,F,Pennoni Younglings 2024
Abyss Diamond Eyes,59.13,F,EBC League 2021
The  Dream crusher,58.58,F,THE BEST OF THE BEST 2024
Prahlad's  Life Coach,58.37,F,0755 Fantasy Football 2022
Hark,58.37,F,Brown Munde 2025
Hurts so good,58.18,F,The Girl's Room 💞🏈 2025
AJ's Awesome Team,58.07,F,0755 Fantasy Football 2025
Girth Brooks,57.94,F,Pennoni Younglings 2022
Get Money Gang,57.93,F,The Mike Daisy Sports IQ League 2025
OAC PADS,57.83,F,Turf On Grade 2.0 2024
Sacks in the City,57.24,F,Operators Football League 2025
Ertz When I Pee,56.83,F,THE BEST OF THE BEST 2025
Muqaddar Ka Sikandar,56.77,F,Game of Yards! 2021
the   jadey bunch,56.69,F,THE BEST OF THE BEST 2024
PAI Athletic Director,56.64,F,Pennoni Younglings 2022
Claytons Team of Experts,56.55,F,OnP Fantasy 2025
Rizzly Bears,56.46,F,Family Fantasy 2025
Kelce You Again!,56.13,F,Game of Yards! 2023
Team CTE,55.95,F,Game of Yards! 2023
Obi-Wan Jakobi,55.67,F,Game of Yards! 2025
Still Rollin',55.28,F,Brown Munde 2025
2 Many Cooks,54.67,F,Game of Yards! 2022
Green,54.24,F,Brown Munde 2023
yay football woo,53.55,F,Philly Extra Special 2025
The Upside Down,53.2,F,THE BEST OF THE BEST 2024
Furnace Party,53.14,F,0755 Fantasy Football 2023
Team Padodara,51.77,F,Brown Munde 2024
Taco Tuesday Everyday,51.73,F,THE BEST OF THE BEST 2023
Dirty Tone and  The Boys,51.58,F,THE BEST OF THE BEST 2025
