Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,LPI,Pick Number,First Pick Points,Top Two Pick Points,Top Four Pick Points,Number of A Grades
Team bhalani,70.07,C-,Brown Munde,10.0,1563.34,1496.18,5-9-0,2023.0,-26.0,5,339.9,591.5,986.12,1.0
Rizzly Bears,70.03,C-,Family Fantasy,8.0,1573.12,1673.94,5-9-0,2024.0,-2.0,9,216.9,293.6,934.58,1.0
MOTHER MAY I,70.01,C-,0755 Fantasy Football,6.0,1338.94,1243.64,8-5-0,2023.0,-32.0,1,168.2,330.79999999999995,594.8,1.0
Riley  Read option,69.99,D+,EBC League,5.0,1628.82,1715.08,6-8-0,2022.0,-22.0,7,201.4,439.20000000000005,910.96,0.0
#18 gridIRON Reinforcements,69.96,D+,Turf On Grade 2.0,4.0,1836.82,1743.16,8-6-0,2023.0,-28.0,2,262.72,285.82000000000005,860.74,1.0
Frisco Cougars,69.94,D+,RRR On Premise,,,,,,,,,,,
Here 4 fun,69.93,D+,0755 Fantasy Football,5.0,1507.28,1361.1,8-5-0,2023.0,11.0,8,356.82,551.92,957.78,1.0
I'd_Tap_ That,69.64,D+,Pennoni Younglings,7.0,1436.46,1486.82,6-8-0,2023.0,-17.0,2,212.72,428.82,898.84,2.0
Kenny The Tick Salcido,69.62,D+,RRR On Premise,,,,,,,7,344.3,629.8,890.3,2.0
Lucky #13s,69.57,D+,THE BEST OF THE BEST,7.0,1400.58,1271.62,10-4-0,2022.0,-21.0,13,183.2,323.6,706.9000000000001,1.0
Pineapples and Tartar Sauce,69.52,D+,0755 Fantasy Football,7.0,1328.16,1306.22,7-6-0,2023.0,-23.0,10,21.1,156.0,675.34,1.0
Furnace Party,69.46,D+,0755 Fantasy Football,11.0,1003.96,1488.88,0-13-0,2023.0,-60.0,9,213.9,446.56,729.06,0.0
MOTHER MAY I,69.43,D+,0755 Fantasy Football,4.0,1523.6,1451.08,9-5-0,2022.0,11.0,8,217.3,426.8,784.9,3.0
The  Dream crusher,69.41,D+,THE BEST OF THE BEST,13.0,1212.86,1463.68,3-11-0,2024.0,-39.0,14,162.86,398.56,630.04,1.0
 Johnny  Dramas ,69.41,D+,RRR On Premise,,,,,,,3,234.7,596.36,1092.46,0.0
Abyss Diamond Eyes,69.41,D+,EBC League,7.0,1535.1,1804.12,4-10-0,2024.0,-3.0,2,218.2,490.3,697.2,0.0
Bhambhwani Pawan Dilip,69.19,D+,Game of Yards!,9.0,1183.8,1453.16,2-11-0,2019.0,-53.0,3,166.9,386.0,858.4000000000001,1.0
Dennis The Menace ,69.16,D+,RRR On Premise,,,,,,,9,262.8,550.7,1039.2,0.0
Riley  Read option,69.06,D+,EBC League,3.0,1723.68,1609.62,11-3-0,2023.0,-14.0,7,376.4,641.8,1276.54,2.0
Dirty Tone and  The Boys,69.0,D+,THE BEST OF THE BEST,11.0,1336.62,1456.62,6-8-0,2023.0,-28.0,10,213.9,394.9,824.0,1.0
Groot-o-Matic,68.98,D+,Game of Yards!,4.0,1620.12,1699.22,13-15-0,2024.0,-14.0,4,212.4,273.1,490.0,3.0
Masoud's Magnificent Team,68.92,D+,Turf On Grade 2.0,10.0,1379.7,1758.48,5-9-0,2024.0,-29.0,8,316.18,633.6600000000001,1109.5600000000002,4.0
Office Director,68.82,D+,0755 Fantasy Football,1.0,1478.2,1317.16,9-5-0,2022.0,-1.0,3,304.66,471.76,870.76,2.0
Team TitBit,68.82,D+,Game of Yards!,5.0,1306.98,1252.5,6-7-0,2019.0,-30.0,3,187.3,396.1,832.0,3.0
Meet the Nabers,68.8,D+,Brown Munde,5.0,1675.78,1454.62,17-11-0,2024.0,14.0,3,321.2,498.29999999999995,716.4,2.0
Titan Up,68.8,D+,RRR On Premise,,,,,,,2,206.3,464.1,849.9,1.0
3rd World Immigrant,68.76,D+,0755 Fantasy Football,1.0,1397.9,1171.52,9-3-0,2023.0,28.0,2,316.9,482.59999999999997,934.5999999999999,1.0
Shindo ,68.75,D+,RRR On Premise,,,,,,,,,,,
Wakanda Forever,68.72,D+,Game of Yards!,3.0,1532.28,1391.62,8-6-0,2022.0,0.0,4,320.7,582.0,902.9,2.0
Abyss Diamond Eyes,68.65,D+,EBC League,5.0,1794.56,1806.04,7-7-0,2023.0,27.0,2,202.2,383.29999999999995,679.2,1.0
Pleasant Valley Panthers,68.65,D+,EBC League,8.0,1363.5,1728.78,2-12-0,2022.0,-70.0,5,223.46,472.06,886.56,0.0
Pennoni Adjacent,68.49,D+,Pennoni Younglings,12.0,1451.64,1566.3,6-8-0,2024.0,-42.0,1,47.8,289.1,676.8,1.0
Bhambhwani Pawan Dilip,68.4,D+,Game of Yards!,5.0,1586.96,1427.38,8-6-0,2022.0,18.0,3,166.9,386.0,858.4000000000001,1.0
Multiple Scoregasm,68.31,D+,Game of Yards!,1.0,1371.22,1364.94,7-6-0,2019.0,-6.0,7,336.28,536.48,856.48,2.0
OAC PADS,68.28,D+,Turf On Grade 2.0,4.0,1473.82,1374.42,9-5-0,2024.0,-42.0,1,47.8,178.0,572.9,3.0
Unicorns🦄 ,68.25,D+,RRR On Premise,,,,,,,,,,,
Team Just here 4 fun,68.18,D+,0755 Fantasy Football,9.0,1491.08,1539.06,6-8-0,2022.0,2.0,2,313.86,601.56,780.56,3.0
Team HebAchi,68.16,D+,Game of Yards!,1.0,1453.44,1485.84,6-8-0,2022.0,-2.0,6,304.66,593.6600000000001,931.6600000000001,3.0
Pain Inflictors,68.14,D+,Game of Yards!,7.0,1443.82,1602.02,5-9-0,2020.0,-7.0,2,313.86,503.46000000000004,852.8600000000001,2.0
MPT Phase1A,68.12,D+,0755 Fantasy Football,5.0,1498.32,1577.38,6-8-0,2022.0,30.0,5,319.2,567.3,1032.8799999999999,2.0
Wut happened uh 🤷🏽‍♂️,68.07,D+,EBC League,6.0,1746.34,1806.22,6-8-0,2023.0,-8.0,4,185.4,408.6,962.1,0.0
The Golden Receivers,68.01,D+,Pennoni Younglings,2.0,1686.36,1598.96,8-6-0,2024.0,13.0,10,216.9,423.5,918.8,1.0
Pain Inflictors,68.0,D+,Game of Yards!,4.0,1598.4,1519.16,9-5-0,2022.0,14.0,2,313.86,503.46000000000004,852.8600000000001,2.0
Inglorious Staffords,67.98,D+,Game of Yards!,6.0,1548.34,1548.36,7-7-0,2021.0,1.0,10,217.3,420.3,693.1,3.0
Free  Brady,67.97,D+,THE BEST OF THE BEST,11.0,1123.96,1277.5,5-9-0,2022.0,-46.0,11,167.1,344.29999999999995,693.4,0.0
Philadelphia British Army,67.96,D+,Pennoni Younglings,11.0,1412.86,1455.82,6-8-0,2023.0,-39.0,9,220.3,423.0,636.5,1.0
Chicken Fried Chicken Meal,67.9,D+,0755 Fantasy Football,4.0,1219.06,1229.5,7-5-0,2023.0,-38.0,4,212.72,453.72,854.6000000000001,0.0
Jackson's Tiktok,67.89,D+,RRR On Premise,,,,,,,,,,,
Chicken Fried Chicken Meal,67.87,D+,0755 Fantasy Football,7.0,1337.62,1510.32,6-8-0,2022.0,-16.0,4,163.9,383.0,727.2,0.0
Cooper Troopers,67.78,D+,Game of Yards!,5.0,1684.36,1555.74,17-11-0,2024.0,19.0,1,40.3,271.1,720.6,2.0
The Chase Is On,67.77,D+,Game of Yards!,10.0,1324.52,1484.86,5-9-0,2022.0,-40.0,10,199.9,341.8,510.6,0.0
Bhambhwani Pawan Dilip,67.74,D+,Game of Yards!,9.0,1413.48,1507.36,4-10-0,2020.0,-41.0,3,166.9,386.0,858.4000000000001,1.0
Brown Munde,67.72,D+,Game of Yards!,9.0,1500.82,1595.36,5-9-0,2022.0,-2.0,8,202.96,412.46000000000004,792.5600000000001,1.0
Inter Miami CF,67.65,D+,EBC League,4.0,1833.12,1860.7,8-6-0,2023.0,21.0,6,391.3,637.6,1125.8,1.0
Abyss Diamond Eyes,67.65,D+,EBC League,5.0,1768.88,1690.06,7-7-0,2021.0,4.0,3,356.36,568.06,952.9599999999999,1.0
Girth Brooks,67.64,D+,Pennoni Younglings,10.0,1218.66,1524.02,4-10-0,2022.0,-20.0,1,132.4,299.4,627.7,0.0
"Lights, Kamara, Action",67.53,D+,RRR On Premise,,,,,,,11,343.8,644.5,1106.24,1.0
Muqaddar Ka Sikandar,67.52,D+,Game of Yards!,7.0,1361.24,1462.08,5-8-0,2019.0,4.0,2,189.3,244.9,517.2,0.0
Brady Gaga,67.51,D+,0755 Fantasy Football,3.0,1495.38,1330.98,8-6-0,2022.0,-4.0,6,202.96,465.56000000000006,829.76,1.0
I'd_Tap_ That,67.42,D+,Pennoni Younglings,12.0,1246.7,1362.22,4-10-0,2022.0,-55.0,8,217.3,348.3,596.4,0.0
Hot Sauce 'n' Bananas,67.32,D+,0755 Fantasy Football,6.0,1538.78,1492.98,7-7-0,2022.0,17.0,9,197.9,482.4,838.9000000000001,1.0
The Hungry Dogs,67.28,D+,EBC League,1.0,1822.06,1675.36,9-5-0,2022.0,12.0,6,302.76,493.86,871.0600000000001,4.0
Prahlad's  Life Coach,67.17,D+,0755 Fantasy Football,10.0,1375.96,1331.74,6-8-0,2022.0,-41.0,1,132.4,286.4,603.4,0.0
PAI Alcoholics Anonymous ,66.99,D,Pennoni Younglings,8.0,1511.42,1551.06,8-6-0,2023.0,6.0,5,236.6,477.6,817.16,0.0
Your Mom,66.95,D,Family Fantasy,10.0,1511.22,1616.9,7-7-0,2024.0,-23.0,11,244.7,496.6,842.02,1.0
PAI Athletic Director,66.89,D,Pennoni Younglings,9.0,1268.12,1406.9,4-10-0,2022.0,-23.0,12,183.2,402.29999999999995,674.8,0.0
Team Cogs,66.88,D,Pennoni Younglings,4.0,1629.68,1395.22,11-3-0,2023.0,2.0,7,318.9,481.5,853.5,1.0
Cor Dawg Dub City,66.84,D,RRR On Premise,,,,,,,14,296.5,525.6,1008.4000000000001,0.0
Jacobs@Jacobs.com,66.53,D,Turf On Grade 2.0,7.0,1626.68,1993.64,3-11-0,2023.0,-51.0,1,202.2,482.42,900.52,0.0
Prahlad's Ghost,66.53,D,Pennoni Younglings,10.0,1376.22,1501.54,4-10-0,2023.0,-29.0,1,168.2,450.42,778.82,0.0
Team Behel,66.47,D,RRR On Premise,,,,,,,1,127.5,530.0799999999999,1104.96,1.0
The Upside Down,66.42,D,THE BEST OF THE BEST,12.0,1365.58,1484.02,6-8-0,2024.0,-13.0,13,167.1,218.0,550.28,1.0
The Big Hurts,66.21,D,0755 Fantasy Football,2.0,1482.04,1447.12,7-7-0,2022.0,6.0,7,286.26,426.65999999999997,813.26,2.0
Team CTE,66.11,D,Game of Yards!,10.0,1413.82,1500.76,10-18-0,2023.0,-30.0,1,169.7,410.7,779.5,0.0
Team BIGMADBLUE,65.98,D,Game of Yards!,2.0,1434.28,1396.24,6-7-0,2019.0,25.0,4,326.6,711.0,991.6999999999999,2.0
Crazy Kat,65.95,D,THE BEST OF THE BEST,8.0,1430.84,1506.62,7-7-0,2023.0,-5.0,12,392.64,595.3399999999999,862.54,1.0
Team Rodriguez,65.93,D,THE BEST OF THE BEST,13.0,1405.18,1547.14,6-8-0,2023.0,-8.0,6,172.9,403.08000000000004,911.94,0.0
I've Got  A Thielen,65.9,D,RRR On Premise,,,,,,,10,229.0,376.2,709.5,0.0
Team Padodara,65.89,D,Brown Munde,10.0,1375.64,1701.3,8-20-0,2024.0,-46.0,4,184.7,235.6,516.8,1.0
THE BIGMADBLUE,65.88,D,Game of Yards!,8.0,1416.86,1501.08,6-8-0,2022.0,-19.0,9,183.2,448.3,758.8000000000001,2.0
Kelce You Again!,65.86,D,Game of Yards!,6.0,1537.8,1657.42,13-15-0,2023.0,20.0,6,172.9,368.0,687.26,0.0
Muqaddar Ka Sikandar,65.75,D,Game of Yards!,8.0,1441.86,1543.06,6-8-0,2020.0,-29.0,2,189.3,244.9,517.2,0.0
Came and Wentz,65.68,D,Pennoni Younglings,12.0,1372.5,1618.6,5-9-0,2023.0,-19.0,10,217.3,383.0,872.06,0.0
Team Amiji,65.62,D,Game of Yards!,10.0,1326.58,1412.48,5-8-0,2019.0,-18.0,10,284.7,466.7,755.7,1.0
Wu-Tangs Killabeez,65.49,D,THE BEST OF THE BEST,10.0,1440.78,1464.58,6-8-0,2023.0,-6.0,3,212.72,378.41999999999996,837.8199999999999,1.0
The Upside Down,64.96,D,THE BEST OF THE BEST,9.0,1468.42,1538.86,5-9-0,2023.0,14.0,13,220.3,367.46000000000004,701.06,0.0
the   jadey bunch,64.87,D,THE BEST OF THE BEST,14.0,1268.36,1491.46,4-10-0,2024.0,-54.0,1,40.3,181.8,715.9200000000001,1.0
The Hungry Dogs,64.58,D,EBC League,7.0,1710.78,1704.76,5-9-0,2023.0,-20.0,8,164.4,438.20000000000005,940.72,1.0
Taco Tuesday Everyday,63.88,D,THE BEST OF THE BEST,14.0,1248.4,1332.82,5-9-0,2023.0,-70.0,5,159.9,246.7,572.78,0.0
Team Flaherty,63.04,D,RRR On Premise,,,,,,,4,193.3,310.9,726.1999999999999,0.0
Oversized Pumpkins,62.93,D-,RRR On Premise,,,,,,,13,215.3,448.1,694.2,0.0
Team DEMBOYZ,62.59,D-,RRR On Premise,,,,,,,12,320.56,449.65999999999997,861.06,0.0
Oklahoma Go Sports!,60.88,D-,RRR On Premise,,,,,,,6,148.6,392.9,918.56,0.0
Gato’s Mom Breezy,59.54,F-,RRR On Premise,,,,,,,8,373.1,444.20000000000005,581.4000000000001,1.0
2 Many Cooks,59.29,F-,Game of Yards!,7.0,1406.48,1555.1,5-9-0,2022.0,-1.0,7,221.8,388.9,811.4,1.0
