Team,Draft Grade,Letter Grade,League Name
Wakanda Forever,72.98647058823529,C-,Game of Yards! 2020
Reagor Bombs,72.97125,C-,RRR On Premise  2021
Vidhi's Spirited Team,72.96875,C-,Game of Yards! 2024
Came and Wentz,72.9675,C-,Pennoni Younglings 2024
Abyss Diamond Eyes,72.945,C-,EBC League 2022
Team Sunshine,72.83642857142857,C-,THE BEST OF THE BEST 2023
Toon Squad,72.79857142857142,C-,THE BEST OF THE BEST 2023
It HURTS being an Eagles fan ,72.79214285714285,C-,THE BEST OF THE BEST 2024
Crazy Kat,72.75428571428571,C-,THE BEST OF THE BEST 2024
India's Most Wanted,72.740625,C-,0755 Fantasy Football 2023
Team Rodriguez,72.738125,C-,THE BEST OF THE BEST 2022
Pain Inflictors,72.72125,C-,Game of Yards! 2024
Wakanda Forever,72.69411764705882,C-,Game of Yards! 2021
Tortured Football Department,72.68875,C-,Family Fantasy 2024
Seigaku FC,72.688,C-,EBC League 2021
Metcalves of Steele,72.596875,C-,0755 Fantasy Football 2024
Book of MoreMoms,72.5925,C-,Pennoni Younglings 2022
Pure Mature,72.58200000000001,C-,EBC League 2021
THE BIGMADBLUE,72.52352941176471,C-,Game of Yards! 2021
For Me to Poop on,72.48625,C-,Family Fantasy 2024
The Truth Hurts,72.425,C-,THE BEST OF THE BEST 2022
Team BIGMADBLUE,72.39647058823529,C-,Game of Yards! 2020
Dak Stinks,72.26625,C-,0755 Fantasy Football 2024
The Golden Receivers,72.05875,C-,Pennoni Younglings 2022
Bhambhwani Pawan Dilip,71.96823529411765,C-,Game of Yards! 2023
Breece Hall Sucks,71.94562499999999,C-,Family Fantasy 2024
Toby's Favorite Employee,71.920625,C-,RRR On Premise  2023
Wu-Tangs Killabeez,71.81928571428571,C-,THE BEST OF THE BEST 2024
Team Corner Office,71.81625,C-,Pennoni Younglings 2022
The Golden Receivers,71.72375,C-,Pennoni Younglings 2023
The  Dream crusher,71.64625,C-,THE BEST OF THE BEST 2022
Brady Gaga,71.629375,C-,0755 Fantasy Football 2023
BHam Legion,71.611875,C-,Turf On Grade 2.0 2024
Maid of Honor,71.563125,C-,THE BEST OF THE BEST 2022
lawrence's Loud Team,71.548125,C-,Family Fantasy 2024
Philadelphia British Army,71.471875,C-,Pennoni Younglings 2022
Chicken Fried Chicken Meal,71.430625,C-,0755 Fantasy Football 2024
Muqaddar Ka Sikandar,71.38294117647058,C-,Game of Yards! 2021
Saving Private Ryan,71.380625,C-,THE BEST OF THE BEST 2022
Rizzo's Crash Test Dummy,71.37625,C-,Pennoni Younglings 2022
"All Barkley, No Bite",71.364375,C-,Brown Munde 2024
Bear Down,71.315625,C-,RRR On Premise  2023
Dennis The Menace ,71.313125,C-,RRR On Premise  2023
Breece’s  Pieces,71.301875,C-,THE BEST OF THE BEST 2022
Stiff Armed and Dangerous,71.29764705882353,C-,Game of Yards! 2022
Team Vellapanti,71.19411764705882,C-,Game of Yards! 2020
BurgerBoyz,71.154375,C-,Brown Munde 2024
Bryson Stott Fan Club,71.06375,C-,EBC League 2024
MPT Phase Tua,71.05625,C-,0755 Fantasy Football 2023
Maid of Honor,71.05285714285715,C-,THE BEST OF THE BEST 2024
Team CTE,71.0164705882353,C-,Game of Yards! 2022
Book of MoreMoms,71.00625,C-,Pennoni Younglings 2023
Green,70.96875,C-,Brown Munde 2023
Peter Pan + the Lost Boys ,70.928125,C-,THE BEST OF THE BEST 2022
Maid of Honor,70.875,C-,THE BEST OF THE BEST 2023
Team TitBit,70.86352941176472,C-,Game of Yards! 2020
Kill Bills ,70.81625,C-,RRR On Premise  2023
Pain Inflictors,70.791875,C-,Game of Yards! 2019
Rollin' with Mahomies,70.78999999999999,C-,THE BEST OF THE BEST 2023
Hark,70.74187500000001,C-,Brown Munde 2023
Need a New Name,70.574375,C-,THE BEST OF THE BEST 2022
Pho_King,70.560625,C-,Pennoni Younglings 2024
Bryson Stott Fan Club,70.490625,C-,EBC League 2023
Daddy's Home,70.449375,C-,Pennoni Younglings 2024
Bli Erinker,70.4075,C-,Pennoni Younglings 2023
South East  Anbu ,70.398,C-,EBC League 2021
Fresh Prince  Of Hel-Aire,70.3935294117647,C-,Game of Yards! 2020
sports,70.38571428571429,C-,THE BEST OF THE BEST 2024
Sorry 🤷🏽‍♂️,70.38266666666667,C-,EBC League 2021
Came and Wentz,70.376875,C-,Pennoni Younglings 2022
First down syndrome ,70.36125,C-,EBC League 2024
"Baby Chark, Juju Juju ",70.345625,C-,0755 Fantasy Football 2023
PHL Mike,70.278125,C-,0755 Fantasy Football 2022
Pennoni Adjacent,70.220625,C-,Pennoni Younglings 2023
Champagne  Papi ,70.123125,C-,EBC League 2022
Team bhalani,70.07375,C-,Brown Munde 2023
Rizzly Bears,70.03,C-,Family Fantasy 2024
MOTHER MAY I,70.01,C-,0755 Fantasy Football 2023
Riley  Read option,69.990625,D+,EBC League 2022
#18 gridIRON Reinforcements,69.9629411764706,D+,Turf On Grade 2.0 2023
Frisco Cougars,69.944375,D+,RRR On Premise  2023
Here 4 fun,69.928125,D+,0755 Fantasy Football 2023
I'd_Tap_ That,69.641875,D+,Pennoni Younglings 2023
Kenny The Tick Salcido,69.62125,D+,RRR On Premise  2021
Lucky #13s,69.566875,D+,THE BEST OF THE BEST 2022
Pineapples and Tartar Sauce,69.52374999999999,D+,0755 Fantasy Football 2023
Furnace Party,69.465,D+,0755 Fantasy Football 2023
MOTHER MAY I,69.43375,D+,0755 Fantasy Football 2022
The  Dream crusher,69.41428571428571,D+,THE BEST OF THE BEST 2024
 Johnny  Dramas ,69.408125,D+,RRR On Premise  2021
Abyss Diamond Eyes,69.40625,D+,EBC League 2024
Bhambhwani Pawan Dilip,69.188125,D+,Game of Yards! 2019
Dennis The Menace ,69.159375,D+,RRR On Premise  2021
Riley  Read option,69.055625,D+,EBC League 2023
Dirty Tone and  The Boys,69.00142857142858,D+,THE BEST OF THE BEST 2023
Groot-o-Matic,68.9825,D+,Game of Yards! 2024
Masoud's Magnificent Team,68.919375,D+,Turf On Grade 2.0 2024
Office Director,68.82125,D+,0755 Fantasy Football 2022
Team TitBit,68.81875,D+,Game of Yards! 2019
Meet the Nabers,68.804375,D+,Brown Munde 2024
Titan Up,68.79625,D+,RRR On Premise  2021
3rd World Immigrant,68.764375,D+,0755 Fantasy Football 2023
Shindo ,68.7475,D+,RRR On Premise  2023
Wakanda Forever,68.72235294117647,D+,Game of Yards! 2022
Abyss Diamond Eyes,68.651875,D+,EBC League 2023
Pleasant Valley Panthers,68.650625,D+,EBC League 2022
Pennoni Adjacent,68.48866666666666,D+,Pennoni Younglings 2024
Bhambhwani Pawan Dilip,68.39529411764705,D+,Game of Yards! 2022
Multiple Scoregasm,68.308125,D+,Game of Yards! 2019
OAC PADS,68.28,D+,Turf On Grade 2.0 2024
Unicorns🦄 ,68.25375,D+,RRR On Premise  2023
Team Just here 4 fun,68.18125,D+,0755 Fantasy Football 2022
Team HebAchi,68.16,D+,Game of Yards! 2022
Pain Inflictors,68.14058823529412,D+,Game of Yards! 2020
MPT Phase1A,68.12375,D+,0755 Fantasy Football 2022
Wut happened uh 🤷🏽‍♂️,68.0725,D+,EBC League 2023
The Golden Receivers,68.00812499999999,D+,Pennoni Younglings 2024
Pain Inflictors,68.00117647058823,D+,Game of Yards! 2022
Inglorious Staffords,67.98117647058824,D+,Game of Yards! 2021
Free  Brady,67.965625,D+,THE BEST OF THE BEST 2022
Philadelphia British Army,67.955,D+,Pennoni Younglings 2023
Chicken Fried Chicken Meal,67.898125,D+,0755 Fantasy Football 2023
Jackson's Tiktok,67.88625,D+,RRR On Premise  2023
Chicken Fried Chicken Meal,67.87,D+,0755 Fantasy Football 2022
Cooper Troopers,67.78125,D+,Game of Yards! 2024
The Chase Is On,67.77,D+,Game of Yards! 2022
Bhambhwani Pawan Dilip,67.73764705882353,D+,Game of Yards! 2020
Brown Munde,67.72235294117647,D+,Game of Yards! 2022
Inter Miami CF,67.654375,D+,EBC League 2023
Abyss Diamond Eyes,67.64866666666667,D+,EBC League 2021
Girth Brooks,67.640625,D+,Pennoni Younglings 2022
"Lights, Kamara, Action",67.5325,D+,RRR On Premise  2021
Muqaddar Ka Sikandar,67.52374999999999,D+,Game of Yards! 2019
Brady Gaga,67.50874999999999,D+,0755 Fantasy Football 2022
I'd_Tap_ That,67.41875,D+,Pennoni Younglings 2022
Hot Sauce 'n' Bananas,67.315,D+,0755 Fantasy Football 2022
The Hungry Dogs,67.285,D+,EBC League 2022
Prahlad's  Life Coach,67.170625,D+,0755 Fantasy Football 2022
PAI Alcoholics Anonymous ,66.9925,D,Pennoni Younglings 2023
Your Mom,66.946875,D,Family Fantasy 2024
PAI Athletic Director,66.89125,D,Pennoni Younglings 2022
Team Cogs,66.8825,D,Pennoni Younglings 2023
Cor Dawg Dub City,66.84375,D,RRR On Premise  2021
Jacobs@Jacobs.com,66.53294117647059,D,Turf On Grade 2.0 2023
Prahlad's Ghost,66.528125,D,Pennoni Younglings 2023
Team Behel,66.471875,D,RRR On Premise  2021
The Upside Down,66.41857142857143,D,THE BEST OF THE BEST 2024
The Big Hurts,66.20875,D,0755 Fantasy Football 2022
Team CTE,66.11058823529413,D,Game of Yards! 2023
Team BIGMADBLUE,65.980625,D,Game of Yards! 2019
Crazy Kat,65.95285714285714,D,THE BEST OF THE BEST 2023
Team Rodriguez,65.92999999999999,D,THE BEST OF THE BEST 2023
I've Got  A Thielen,65.895,D,RRR On Premise  2021
Team Padodara,65.89375,D,Brown Munde 2024
THE BIGMADBLUE,65.87882352941176,D,Game of Yards! 2022
Kelce You Again!,65.86,D,Game of Yards! 2023
Muqaddar Ka Sikandar,65.74705882352941,D,Game of Yards! 2020
Came and Wentz,65.67625,D,Pennoni Younglings 2023
Team Amiji,65.623125,D,Game of Yards! 2019
Wu-Tangs Killabeez,65.49,D,THE BEST OF THE BEST 2023
The Upside Down,64.95714285714286,D,THE BEST OF THE BEST 2023
the   jadey bunch,64.87428571428572,D,THE BEST OF THE BEST 2024
The Hungry Dogs,64.58375,D,EBC League 2023
Taco Tuesday Everyday,63.88428571428572,D,THE BEST OF THE BEST 2023
Team Flaherty,63.041875,D,RRR On Premise  2021
Oversized Pumpkins,62.93375,D-,RRR On Premise  2021
Team DEMBOYZ,62.591875,D-,RRR On Premise  2021
Oklahoma Go Sports!,60.875,D-,RRR On Premise  2021
Gato’s Mom Breezy,59.538125,F-,RRR On Premise  2021
2 Many Cooks,59.28823529411765,F-,Game of Yards! 2022
