Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,LPI
Pain Inflictors,77.49,C+,Game of Yards!,2.0,1584.74,1456.54,10-4-0,2021.0,-7.0
Stiff Armed and Dangerous,77.44,C+,Game of Yards!,2.0,1598.32,1399.44,10-4-0,2022.0,24.0
Team Rodriguez,77.37,C+,THE BEST OF THE BEST,9.0,1375.7,1425.3,4-10-0,2022.0,3.0
Eks Gonna Give It To Ya!,77.36,C+,Brown Munde,5.0,1587.9,1514.54,7-7-0,2023.0,-1.0
Patrick's Stars,77.21,C+,0755 Fantasy Football,10.0,1771.38,1777.64,7-7-0,2024.0,-8.0
Philadelphia Bills Mafia,77.2,C+,Pennoni Younglings,8.0,1551.24,1703.48,5-9-0,2024.0,-7.0
Team Padodara,77.18,C+,Brown Munde,4.0,1632.56,1588.82,9-5-0,2023.0,36.0
Olave Another,77.17,C+,0755 Fantasy Football,5.0,1744.22,1643.28,8-6-0,2024.0,13.0
NoHalfSends,77.14,C+,Brown Munde,2.0,1653.76,1628.9,8-6-0,2023.0,29.0
19th St Halal Cart,77.08,C+,Pennoni Younglings,7.0,1703.48,1455.36,9-5-0,2024.0,-12.0
Team HebAchi,77.03,C+,Game of Yards!,2.0,1749.4,1601.44,22-6-0,2024.0,32.0
Bryson Stott Fan Club,77.02,C+,EBC League,3.0,1652.7,1708.06,6-8-0,2024.0,18.0
Team HebAchi,76.99,C,Game of Yards!,7.0,1435.8,1539.92,12-16-0,2023.0,-7.0
the   jadey bunch,76.99,C,THE BEST OF THE BEST,6.0,1521.34,1528.08,6-8-0,2023.0,11.0
All my homies hate Dallas,76.97,C,0755 Fantasy Football,4.0,1671.82,1631.78,8-6-0,2024.0,2.0
OAC PADS,76.91,C,Turf On Grade 2.0,8.0,1874.88,1878.34,7-7-0,2023.0,-10.0
MOTHER MAY I,76.73,C,0755 Fantasy Football,4.0,1523.6,1451.08,9-5-0,2022.0,11.0
Pure Mature,76.72,C,EBC League,1.0,1807.36,1600.98,8-6-0,2021.0,8.0
Oh My Josh,76.71,C,Family Fantasy,3.0,1756.98,1712.94,9-5-0,2024.0,57.0
Pain Inflictors,76.7,C,Game of Yards!,2.0,1551.78,1421.72,17-11-0,2023.0,10.0
I'm Batman,76.69,C,0755 Fantasy Football,1.0,1738.84,1611.66,10-4-0,2024.0,18.0
Pleasant Valley Panthers,76.62,C,EBC League,1.0,1721.44,1453.88,10-4-0,2024.0,12.0
Multiple Scoregasm,76.62,C,Game of Yards!,6.0,1565.54,1553.54,8-6-0,2020.0,-10.0
Inter Miami CF,76.6,C,EBC League,6.0,1700.82,1617.34,9-5-0,2024.0,12.0
BurgerBoyz,76.56,C,Brown Munde,7.0,1570.74,1675.16,6-8-0,2023.0,6.0
Wakanda Forever,76.5,C,Game of Yards!,5.0,1429.38,1500.88,14-14-0,2023.0,-20.0
Inter Miami CF,76.5,C,EBC League,4.0,1833.12,1860.7,8-6-0,2023.0,21.0
Hot Sauce 'n' Bananas,76.49,C,0755 Fantasy Football,6.0,1538.78,1492.98,7-7-0,2022.0,17.0
3rd World Immigrant,76.45,C,0755 Fantasy Football,3.0,1827.14,1741.1,8-6-0,2024.0,47.0
It HURTS being an Eagles fan ,76.41,C,THE BEST OF THE BEST,4.0,1568.32,1524.64,9-5-0,2024.0,20.0
Prahlad's Ghost,76.39,C,Pennoni Younglings,1.0,1678.7,1729.84,7-7-0,2024.0,23.0
SIGMAS,76.32,C,Family Fantasy,9.0,1627.64,1578.98,6-8-0,2024.0,-21.0
Still Rollin',76.29,C,Brown Munde,1.0,1706.28,1514.14,10-4-0,2023.0,38.0
THE BIGMADBLUE,76.27,C,Game of Yards!,1.0,1561.24,1464.36,17-11-0,2023.0,14.0
PHL Mike,76.26,C,0755 Fantasy Football,8.0,1334.22,1557.38,6-8-0,2022.0,-5.0
I'd_Tap_ That,76.24,C,Pennoni Younglings,7.0,1436.46,1486.82,6-8-0,2023.0,-17.0
Team Vellapanti,76.19,C,Game of Yards!,7.0,1568.8,1599.84,6-8-0,2021.0,12.0
Toon Squad,76.19,C,THE BEST OF THE BEST,4.0,1550.0,1383.84,8-6-0,2023.0,17.0
Office Director,76.18,C,0755 Fantasy Football,1.0,1478.2,1317.16,9-5-0,2022.0,-1.0
The Truth Hurts,76.16,C,THE BEST OF THE BEST,6.0,1361.56,1456.32,6-8-0,2022.0,13.0
Jim-a-sore-ass,76.15,C,Turf On Grade 2.0,5.0,1514.16,1587.8,5-9-0,2024.0,-31.0
Gabe's Grand Team,76.11,C,Family Fantasy,6.0,1561.02,1606.96,7-7-0,2024.0,-2.0
Bli Erinker,76.1,C,Pennoni Younglings,2.0,1606.66,1526.16,7-7-0,2023.0,24.0
It's Britney's Bench,76.02,C,0755 Fantasy Football,8.0,1622.32,1779.1,3-11-0,2024.0,-19.0
Pain Inflictors,76.0,C,Game of Yards!,4.0,1574.92,1431.12,10-3-0,2019.0,41.0
Team BB,75.99,C,Brown Munde,1.0,1782.94,1739.9,16-12-0,2024.0,55.0
Masoud's Magnificent Team,75.94,C,Turf On Grade 2.0,10.0,1379.7,1758.48,5-9-0,2024.0,-29.0
Champagne  Papi ,75.94,C,EBC League,2.0,1919.74,1750.16,8-6-0,2022.0,40.0
Wakanda Forever,75.94,C,Game of Yards!,1.0,1591.16,1540.32,9-5-0,2020.0,-2.0
Terrell Suggs to be you,75.92,C,THE BEST OF THE BEST,5.0,1591.8,1522.56,7-7-0,2024.0,38.0
"All Barkley, No Bite",75.91,C,Brown Munde,8.0,1398.2,1798.9,1-13-0,2023.0,-4.0
The Golden Receivers,75.91,C,Pennoni Younglings,2.0,1553.28,1480.06,10-4-0,2022.0,18.0
Multiple Scoregasm,75.89,C,Game of Yards!,1.0,1371.22,1364.94,7-6-0,2019.0,-6.0
Red River Rising 💪,75.89,C,RRR On Premise,,,,,,
MPT Phase1A,75.86,C,0755 Fantasy Football,5.0,1498.32,1577.38,6-8-0,2022.0,30.0
Killler jatt ,75.84,C,Brown Munde,3.0,1640.04,1423.32,11-3-0,2023.0,-1.0
Pitman OBJYN,75.83,C,EBC League,4.0,1713.52,1867.46,6-8-0,2021.0,6.0
Team Date,75.8,C,Turf On Grade 2.0,1.0,1962.36,1845.5,9-5-0,2023.0,27.0
MPT Phase Tua,75.75,C,0755 Fantasy Football,8.0,1301.06,1267.5,6-7-0,2023.0,-10.0
Book of MoreMoms,75.75,C,Pennoni Younglings,1.0,1494.1,1429.76,9-5-0,2023.0,2.0
Still Rollin',75.71,C,Brown Munde,3.0,1753.78,1403.54,21-7-0,2024.0,24.0
Team CTE,75.71,C,Game of Yards!,6.0,1520.44,1578.68,8-6-0,2022.0,8.0
Brown Munde,75.7,C,Game of Yards!,6.0,1676.52,1548.38,16-12-0,2024.0,20.0
Wakanda Forever,75.64,C,Game of Yards!,4.0,1693.36,1455.66,8-6-0,2021.0,7.0
Team Date,75.63,C,Turf On Grade 2.0,6.0,1706.02,1700.52,7-7-0,2024.0,16.0
Bryson Stott Fan Club,75.63,C,EBC League,2.0,1771.38,1719.38,7-7-0,2023.0,14.0
Riley  Read option,75.61,C,EBC League,8.0,1414.26,1830.54,3-11-0,2024.0,-44.0
Came and Wentz,75.59,C,Pennoni Younglings,6.0,1651.04,1608.9,9-5-0,2024.0,0.0
Team Cogs,75.57,C,Pennoni Younglings,10.0,1598.58,1611.14,5-9-0,2024.0,-33.0
Toon Squad,75.51,C,THE BEST OF THE BEST,9.0,1398.7,1494.5,4-10-0,2024.0,-7.0
Did I Set My Lineup?,75.5,C,Turf On Grade 2.0,2.0,1886.46,2009.76,7-7-0,2023.0,-2.0
Maid of Honor,75.5,C,THE BEST OF THE BEST,7.0,1504.96,1537.72,7-7-0,2023.0,15.0
Team TitBit,75.48,C,Game of Yards!,3.0,1621.7,1557.74,9-5-0,2020.0,20.0
Pennoni Adjacent,75.47,C,Pennoni Younglings,9.0,1392.0,1490.24,5-9-0,2023.0,-40.0
NoHalfSends,75.45,C,Brown Munde,2.0,1622.7,1627.56,19-9-0,2024.0,23.0
The  Dream crusher,75.44,C,THE BEST OF THE BEST,5.0,1595.4,1339.04,10-4-0,2023.0,1.0
Fresh Prince  Of Hel-Aire,75.43,C,Game of Yards!,10.0,1425.6,1477.92,7-7-0,2020.0,-61.0
 Johnny  Dramas ,75.4,C,RRR On Premise,,,,,,
Bhambhwani Pawan Dilip,75.38,C,Game of Yards!,5.0,1586.96,1427.38,8-6-0,2022.0,18.0
Here 4 fun,75.35,C,0755 Fantasy Football,5.0,1507.28,1361.1,8-5-0,2023.0,11.0
South East  Anbu ,75.31,C,EBC League,8.0,1499.5,1846.14,4-10-0,2021.0,-36.0
Brown Munde,75.29,C,Game of Yards!,3.0,1610.14,1438.96,17-11-0,2023.0,17.0
Rizzo's Crash Test Dummy,75.29,C,Pennoni Younglings,8.0,1431.64,1428.6,6-8-0,2022.0,-2.0
Book of MoreMoms,75.23,C,Pennoni Younglings,6.0,1467.52,1359.5,7-7-0,2022.0,-7.0
Dirty Tone and  The Boys,75.22,C,THE BEST OF THE BEST,14.0,1410.12,1429.24,5-9-0,2022.0,-2.0
Brady Gaga,75.21,C,0755 Fantasy Football,10.0,1327.54,1401.0,4-8-0,2023.0,59.0
Bench Warmer,75.16,C,RRR On Premise,,,,,,
Amon a Mission,75.13,C,Game of Yards!,8.0,1506.68,1564.74,13-15-0,2023.0,1.0
Brown Munde,75.11,C,Game of Yards!,9.0,1500.82,1595.36,5-9-0,2022.0,-2.0
Wu-Tangs Killabeez,75.08,C,THE BEST OF THE BEST,10.0,1440.78,1464.58,6-8-0,2023.0,-6.0
Rollin' with Mahomies,75.03,C,THE BEST OF THE BEST,12.0,1385.48,1512.34,6-8-0,2023.0,-8.0
Eli,75.01,C,Pennoni Younglings,9.0,1620.04,1662.54,5-9-0,2024.0,-16.0
Run CMC,75.0,C,Game of Yards!,4.0,1598.48,1513.0,18-10-0,2023.0,41.0
BB,75.0,C,Game of Yards!,9.0,1539.02,1681.64,9-19-0,2024.0,-19.0
The Chase Is On,74.98,C,Game of Yards!,10.0,1324.52,1484.86,5-9-0,2022.0,-40.0
Team TitBit,74.98,C,Game of Yards!,8.0,1634.5,1681.14,6-8-0,2021.0,25.0
Team Rodriguez,74.98,C,THE BEST OF THE BEST,13.0,1405.18,1547.14,6-8-0,2023.0,-8.0
Abyss Diamond Eyes,74.96,C,EBC League,5.0,1794.56,1806.04,7-7-0,2023.0,27.0
Team Sunshine,74.88,C,THE BEST OF THE BEST,3.0,1421.42,1590.74,7-7-0,2023.0,20.0
"Baby Chark, Juju Juju ",74.87,C,0755 Fantasy Football,2.0,1362.68,1369.5,9-4-0,2023.0,-13.0
Saving Private Ryan,74.85,C,THE BEST OF THE BEST,12.0,1300.58,1432.3,4-10-0,2022.0,-15.0
Pain Inflictors,74.84,C,Game of Yards!,4.0,1598.4,1519.16,9-5-0,2022.0,14.0
Dirty Tone and  The Boys,74.77,C,THE BEST OF THE BEST,11.0,1336.62,1456.62,6-8-0,2023.0,-28.0
JanSteez,74.75,C,EBC League,5.0,1586.02,1575.74,8-6-0,2024.0,-18.0
Wakanda Forever,74.73,C,Game of Yards!,10.0,1495.06,1662.26,10-18-0,2024.0,-22.0
Crazy Kat,74.66,C,THE BEST OF THE BEST,3.0,1370.56,1376.48,7-7-0,2024.0,-43.0
THE BIGMADBLUE,74.6,C,Brown Munde,4.0,1610.18,1613.84,14-14-0,2024.0,13.0
Team TitBit,74.53,C,Game of Yards!,5.0,1306.98,1252.5,6-7-0,2019.0,-30.0
Riley  Read option,74.5,C,EBC League,5.0,1628.82,1715.08,6-8-0,2022.0,-22.0
Seigaku FC,74.47,C,EBC League,6.0,1836.6,1735.06,8-6-0,2021.0,27.0
Wakanda Forever,74.44,C,Game of Yards!,3.0,1532.28,1391.62,8-6-0,2022.0,0.0
lawrence's Loud Team,74.42,C,Family Fantasy,7.0,1478.74,1501.94,8-6-0,2024.0,-22.0
Pho_King,74.39,C,Pennoni Younglings,4.0,1657.6,1622.76,10-4-0,2024.0,6.0
Team Just here 4 fun,74.39,C,0755 Fantasy Football,9.0,1491.08,1539.06,6-8-0,2022.0,2.0
PAI Alcoholics Anonymous ,74.34,C,Pennoni Younglings,8.0,1511.42,1551.06,8-6-0,2023.0,6.0
Pleasant Valley Panthers,74.33,C,EBC League,8.0,1363.5,1728.78,2-12-0,2022.0,-70.0
sports,74.28,C,THE BEST OF THE BEST,11.0,1381.36,1449.38,6-8-0,2024.0,-21.0
The Golden Receivers,74.24,C,Pennoni Younglings,5.0,1497.52,1551.18,7-7-0,2023.0,14.0
Wut happened uh 🤷🏽‍♂️,74.21,C,EBC League,6.0,1746.34,1806.22,6-8-0,2023.0,-8.0
Crazy Kat,74.21,C,THE BEST OF THE BEST,8.0,1430.84,1506.62,7-7-0,2023.0,-5.0
Brady Gaga,74.16,C,0755 Fantasy Football,3.0,1495.38,1330.98,8-6-0,2022.0,-4.0
Bhambhwani Pawan Dilip,74.13,C,Game of Yards!,9.0,1413.48,1507.36,4-10-0,2020.0,-41.0
Dirty Tone and  The Boys,74.12,C,THE BEST OF THE BEST,8.0,1512.36,1585.16,6-8-0,2024.0,7.0
Bhambhwani Pawan Dilip,74.06,C,Game of Yards!,3.0,1514.28,1468.76,8-6-0,2021.0,-4.0
THE BIGMADBLUE,74.05,C,Game of Yards!,1.0,1534.2,1482.3,8-6-0,2021.0,18.0
The Big Hurts,74.05,C,0755 Fantasy Football,2.0,1482.04,1447.12,7-7-0,2022.0,6.0
BHam Legion,74.01,C,Turf On Grade 2.0,8.0,1578.02,1591.76,7-7-0,2024.0,-23.0
Chicken Fried Chicken Meal,74.0,C,0755 Fantasy Football,4.0,1219.06,1229.5,7-5-0,2023.0,-38.0
Chicken Fried Chicken Meal,73.91,C,0755 Fantasy Football,7.0,1337.62,1510.32,6-8-0,2022.0,-16.0
The Hungry Dogs,73.9,C,EBC League,1.0,1822.06,1675.36,9-5-0,2022.0,12.0
Peter Pan + the Lost Boys ,73.87,C,THE BEST OF THE BEST,10.0,1257.96,1440.54,4-10-0,2022.0,-15.0
Breece Hall Sucks,73.86,C,Family Fantasy,11.0,1579.54,1696.56,4-10-0,2024.0,1.0
Chicken Fried Chicken Meal,73.76,C,0755 Fantasy Football,9.0,1603.72,1708.64,6-8-0,2024.0,-46.0
Tortured Football Department,73.7,C,Family Fantasy,12.0,1459.84,1625.1,3-11-0,2024.0,-34.0
Vidhi's Spirited Team,73.68,C,Game of Yards!,7.0,1542.52,1720.5,11-17-0,2024.0,-6.0
Maid of Honor,73.66,C,THE BEST OF THE BEST,5.0,1259.32,1169.22,10-4-0,2022.0,-66.0
Came and Wentz,73.63,C,Pennoni Younglings,5.0,1453.54,1453.86,7-7-0,2022.0,-4.0
THE BIGMADBLUE,73.58,C,Game of Yards!,8.0,1416.86,1501.08,6-8-0,2022.0,-19.0
For Me to Poop on,73.56,C,Family Fantasy,2.0,1579.82,1602.28,7-7-0,2024.0,-3.0
Did I Set My Lineup?,73.53,C,Turf On Grade 2.0,9.0,1623.2,1625.66,6-8-0,2024.0,-23.0
Rizzly Bears,73.52,C,Family Fantasy,8.0,1573.12,1673.94,5-9-0,2024.0,-2.0
Team Cogs,73.49,C,Pennoni Younglings,4.0,1629.68,1395.22,11-3-0,2023.0,2.0
Team bhalani,73.49,C,Brown Munde,10.0,1563.34,1496.18,5-9-0,2023.0,-26.0
Team Vellapanti,73.46,C,Game of Yards!,5.0,1709.92,1598.22,7-7-0,2020.0,37.0
Sorry 🤷🏽‍♂️,73.46,C,EBC League,7.0,1632.48,1739.38,6-8-0,2021.0,-18.0
Metcalves of Steele,73.42,C,0755 Fantasy Football,7.0,1295.18,1734.14,1-13-0,2024.0,-62.0
Daddy's Home,73.42,C,Pennoni Younglings,11.0,1567.12,1714.0,5-9-0,2024.0,-4.0
Team BIGMADBLUE,73.4,C,Game of Yards!,2.0,1434.28,1396.24,6-7-0,2019.0,25.0
Team CTE,73.35,C,Game of Yards!,8.0,1543.38,1618.68,9-19-0,2024.0,-38.0
Muqaddar Ka Sikandar,73.29,C,Game of Yards!,7.0,1361.24,1462.08,5-8-0,2019.0,4.0
Breece’s  Pieces,73.2,C,THE BEST OF THE BEST,8.0,1430.86,1425.08,8-6-0,2022.0,19.0
Team HebAchi,73.15,C,Game of Yards!,5.0,1559.06,1563.16,7-7-0,2021.0,-4.0
Team Corner Office,73.1,C,Pennoni Younglings,11.0,1351.98,1426.58,6-8-0,2022.0,-11.0
The Golden Receivers,73.06,C,Pennoni Younglings,2.0,1686.36,1598.96,8-6-0,2024.0,13.0
#18 gridIRON Reinforcements,73.04,C,Turf On Grade 2.0,4.0,1836.82,1743.16,8-6-0,2023.0,-28.0
Reagor Bombs,72.97,C-,RRR On Premise,,,,,,
The  Never CameBack,72.96,C-,Game of Yards!,10.0,1497.74,1570.5,6-8-0,2021.0,-17.0
Wu-Tangs Killabeez,72.96,C-,THE BEST OF THE BEST,6.0,1500.3,1509.92,7-7-0,2024.0,0.0
Free  Brady,72.9,C-,THE BEST OF THE BEST,11.0,1123.96,1277.5,5-9-0,2022.0,-46.0
Came and Wentz,72.88,C-,Pennoni Younglings,12.0,1372.5,1618.6,5-9-0,2023.0,-19.0
Pain Inflictors,72.83,C-,Game of Yards!,3.0,1545.28,1524.82,12-16-0,2024.0,-16.0
Need a New Name,72.81,C-,THE BEST OF THE BEST,13.0,1204.74,1433.38,4-10-0,2022.0,-37.0
Maid of Honor,72.79,C-,THE BEST OF THE BEST,10.0,1417.0,1379.3,6-8-0,2024.0,-19.0
Your Mom,72.75,C-,Family Fantasy,10.0,1511.22,1616.9,7-7-0,2024.0,-23.0
Muqaddar Ka Sikandar,72.73,C-,Game of Yards!,8.0,1441.86,1543.06,6-8-0,2020.0,-29.0
Dak Stinks,72.69,C-,0755 Fantasy Football,6.0,1901.86,1636.18,8-6-0,2024.0,42.0
Pineapples and Tartar Sauce,72.67,C-,0755 Fantasy Football,7.0,1328.16,1306.22,7-6-0,2023.0,-23.0
Pain Inflictors,72.62,C-,Game of Yards!,7.0,1443.82,1602.02,5-9-0,2020.0,-7.0
MOTHER MAY I,72.58,C-,0755 Fantasy Football,6.0,1338.94,1243.64,8-5-0,2023.0,-32.0
The Hungry Dogs,72.56,C-,EBC League,7.0,1710.78,1704.76,5-9-0,2023.0,-20.0
Bhambhwani Pawan Dilip,72.53,C-,Game of Yards!,9.0,1379.72,1423.08,9-19-0,2023.0,-46.0
Meet the Nabers,72.46,C-,Brown Munde,5.0,1675.78,1454.62,17-11-0,2024.0,14.0
"All Barkley, No Bite",72.45,C-,Brown Munde,8.0,1323.6,1523.1,6-22-0,2024.0,-62.0
Jacobs@Jacobs.com,72.41,C-,Turf On Grade 2.0,7.0,1626.68,1993.64,3-11-0,2023.0,-51.0
Inglorious Staffords,72.4,C-,Game of Yards!,6.0,1548.34,1548.36,7-7-0,2021.0,1.0
Prahlad's Ghost,72.3,C-,Pennoni Younglings,10.0,1376.22,1501.54,4-10-0,2023.0,-29.0
I'd_Tap_ That,72.22,C-,Pennoni Younglings,12.0,1246.7,1362.22,4-10-0,2022.0,-55.0
Team Amiji,72.21,C-,Game of Yards!,10.0,1326.58,1412.48,5-8-0,2019.0,-18.0
3rd World Immigrant,72.21,C-,0755 Fantasy Football,1.0,1397.9,1171.52,9-3-0,2023.0,28.0
The Upside Down,72.18,C-,THE BEST OF THE BEST,9.0,1468.42,1538.86,5-9-0,2023.0,14.0
Lucky #13s,72.05,C-,THE BEST OF THE BEST,7.0,1400.58,1271.62,10-4-0,2022.0,-21.0
Groot-o-Matic,71.95,C-,Game of Yards!,4.0,1620.12,1699.22,13-15-0,2024.0,-14.0
Toby's Favorite Employee,71.92,C-,RRR On Premise,,,,,,
First down syndrome ,71.91,C-,EBC League,4.0,1594.3,1604.86,6-8-0,2024.0,-18.0
Hark,71.85,C-,Brown Munde,9.0,1422.8,1502.72,5-9-0,2023.0,-70.0
Abyss Diamond Eyes,71.8,C-,EBC League,7.0,1535.1,1804.12,4-10-0,2024.0,-3.0
BurgerBoyz,71.78,C-,Brown Munde,9.0,1419.1,1503.12,8-20-0,2024.0,-59.0
Philadelphia British Army,71.51,C-,Pennoni Younglings,11.0,1412.86,1455.82,6-8-0,2023.0,-39.0
Bhambhwani Pawan Dilip,71.43,C-,Game of Yards!,9.0,1183.8,1453.16,2-11-0,2019.0,-53.0
Bear Down,71.32,C-,RRR On Premise,,,,,,
Dennis The Menace ,71.31,C-,RRR On Premise,,,,,,
Abyss Diamond Eyes,71.28,C-,EBC League,5.0,1768.88,1690.06,7-7-0,2021.0,4.0
Cooper Troopers,71.16,C-,Game of Yards!,5.0,1684.36,1555.74,17-11-0,2024.0,19.0
Prahlad's  Life Coach,71.09,C-,0755 Fantasy Football,10.0,1375.96,1331.74,6-8-0,2022.0,-41.0
Girth Brooks,70.93,C-,Pennoni Younglings,10.0,1218.66,1524.02,4-10-0,2022.0,-20.0
Pennoni Adjacent,70.85,C-,Pennoni Younglings,12.0,1451.64,1566.3,6-8-0,2024.0,-42.0
Kill Bills ,70.82,C-,RRR On Premise,,,,,,
Muqaddar Ka Sikandar,70.65,C-,Game of Yards!,9.0,1341.28,1650.04,4-10-0,2021.0,-32.0
Kelce You Again!,70.62,C-,Game of Yards!,6.0,1537.8,1657.42,13-15-0,2023.0,20.0
Team CTE,70.59,C-,Game of Yards!,10.0,1413.82,1500.76,10-18-0,2023.0,-30.0
PAI Athletic Director,70.51,C-,Pennoni Younglings,9.0,1268.12,1406.9,4-10-0,2022.0,-23.0
The  Dream crusher,70.46,C-,THE BEST OF THE BEST,13.0,1212.86,1463.68,3-11-0,2024.0,-39.0
OAC PADS,70.27,C-,Turf On Grade 2.0,4.0,1473.82,1374.42,9-5-0,2024.0,-42.0
Green,70.17,C-,Brown Munde,6.0,1478.98,1511.92,8-6-0,2023.0,-7.0
2 Many Cooks,70.03,C-,Game of Yards!,7.0,1406.48,1555.1,5-9-0,2022.0,-1.0
the   jadey bunch,69.94,D+,THE BEST OF THE BEST,14.0,1268.36,1491.46,4-10-0,2024.0,-54.0
